Time_min,D50_micron
1,12.3975
2,15.7968
3,14.4976
4,21.5782
5,28.1947
6,30.2116
7,31.3567
8,34.7521
9,33.2135
10,35.0801
11,37.3441
12,39.2328
13,38.294
14,42.5552
15,42.7679
16,48.1198
17,43.3569
18,44.8272
19,48.5757
20,48.6825
21,49.0828
22,47.6502
23,54.5383
24,51.2524
25,57.9724
26,52.1516
27,52.8029
28,55.6635
29,53.4211
30,55.984
31,53.5034
32,58.9112
33,54.098
34,57.1577
35,59.0828
36,58.1392
37,63.3425
38,57.975
39,59.8903
40,58.3701
41,61.0054
42,60.2217
43,59.0344
44,57.9611
45,59.5389
46,61.3996
47,60.65
48,63.5401
49,57.6723
50,64.873
51,65.2779
52,64.4026
53,61.5052
54,64.0206
55,62.1958
56,62.931
57,67.4693
58,66.6363
59,62.9498
60,63.2527
61,63.308
62,66.6073
63,68.3015
64,64.7111
65,64.9374
66,67.9444
67,65.3129
68,61.9167
69,64.3812
70,65.6235
71,66.5864
72,63.4012
73,62.3737
74,64.554
75,61.0857
76,61.7272
77,61.777
78,65.262
79,65.5493
80,60.8744
81,64.3069
82,62.6979
83,67.6182
84,66.2246
85,63.1421
86,67.879
87,62.7456
88,64.6596
89,66.2676
90,65.1572
91,63.4541
92,66.2784
93,62.9242
94,65.1834
95,66.0824
96,64.8797
97,64.863
98,63.3529
99,63.8434
100,67.3099
101,66.4365
102,62.9546
103,60.2032
104,62.718
105,61.7443
106,64.5815
107,65.7222
108,62.794
109,65.6764
110,63.4243
111,64.7908
112,64.6186
113,65.111
114,62.4656
115,62.436
116,60.736
117,65.3917
118,64.101
119,61.5572
120,64.689
121,62.1472
122,62.9421
123,65.5727
124,63.2147
125,64.6659
126,61.7156
127,63.7907
128,63.7807
129,64.2197
130,65.9816
131,64.5794
132,63.4635
133,64.6334
134,63.1966
135,62.3825
136,67.6059
137,63.458
138,62.9785
139,61.7727
140,63.6492
141,64.4265
142,64.1674
143,66.1762
144,63.3021
145,62.6923
146,65.9078
147,61.5846
148,64.2913
149,61.7734
150,63.1954
151,63.9672
152,63.1023
153,65.7752
154,64.6951
155,61.3242
156,63.3574
157,61.6783
158,62.2187
159,64.5065
160,64.6961
161,63.3655
162,66.3499
163,64.7039
164,62.2118
165,64.7237
166,63.4656
167,64.6437
168,66.2186
169,64.7489
170,65.5226
171,60.556
172,64.2599
173,64.4192
174,61.162
175,61.8122
176,65.0137
177,62.2515
178,64.9172
179,63.7206
180,60.8082
181,66.133
182,63.7291
183,65.299
184,63.4684
185,63.4038
186,63.2774
187,63.5624
188,61.7996
189,63.7883
190,59.917
191,63.2475
192,65.4512
193,62.1169
194,62.1052
195,64.1229
196,65.4086
197,62.6362
198,62.2808
199,63.2119
200,65.4237
201,63.3813
202,63.837
203,65.6304
204,64.6195
205,62.3459
206,66.2364
207,62.7523
208,64.0175
209,64.891
210,62.0536
211,63.4185
212,62.8128
213,61.6551
214,63.0453
215,62.7543
216,60.9276
217,63.6101
218,64.524
219,64.4163
220,59.1926
221,62.2739
222,62.2838
223,65.3297
224,63.8771
225,60.2114
226,61.4152
227,63.9092
228,60.8866
229,59.7771
230,62.6543
231,65.1594
232,62.8675
233,62.3469
234,62.6496
235,61.2724
236,60.8866
237,61.1816
238,61.2481
239,62.6785
240,63.4411
241,64.9853
242,61.8534
243,62.2671
244,63.8348
245,64.5057
246,63.0774
247,60.5548
248,63.6351
249,63.2394
250,63.3833
251,61.2261
252,63.1835
253,65.2795
254,62.0486
255,64.8955
256,65.1922
257,62.9922
258,61.168
259,65.0994
260,66.014
261,63.9641
262,63.8671
263,63.0838
264,59.0828
265,62.7977
266,62.0313
267,64.8507
268,63.2847
269,63.8023
270,63.8948
272.5,61.669
277.5,62.5646
282.5,62.0494
287.5,62.3072
292.5,62.7226
297.5,60.4572
302.5,62.6234
307.5,62.7487
312.5,59.6623
317.5,63.2592
322.5,61.7681
327.5,63.3691
332.5,62.6047
337.5,62.4589
342.5,61.1134
347.5,61.3585
352.5,61.568
357.5,63.2965
362.5,61.2217
367.5,63.7253
372.5,59.584
377.5,61.9355
382.5,60.1959
387.5,63.1687
392.5,62.013
397.5,60.9594
402.5,62.0229
407.5,62.7396
412.5,62.1721
417.5,64.7359
422.5,62.844
427.5,62.846
432.5,63.2073
437.5,64.5318
442.5,61.5672
447.5,62.6176
482.5,64.7844
487.5,60.024
492.5,62.1615
497.5,63.7488
502.5,62.2366
507.5,65.4145
512.5,61.7032
517.5,62.0635
522.5,64.1365
527.5,62.7443
532.5,62.4584
537.5,62.0735
542.5,62.6092
547.5,62.0426
552.5,62.4925
557.5,60.6566
562.5,61.3245
567.5,60.5604
572.5,61.5204
577.5,60.4458
582.5,61.1233
587.5,60.963
592.5,61.3285
597.5,60.8343
602.5,62.7761
607.5,61.0298
612.5,59.5921
617.5,62.029
622.5,62.0171
627.5,61.5708
632.5,61.7743
637.5,61.995
642.5,61.0613
647.5,62.6691
652.5,59.418
657.5,60.5801
662.5,61.1795
667.5,60.182
672.5,60.4572
677.5,61.3435
682.5,62.3622
687.5,61.2935
692.5,59.9784
697.5,60.9558
702.5,61.8198
707.5,62.0957
712.5,58.4751
717.5,61.9934
722.5,62.4247
727.5,62.7621
732.5,60.7409
737.5,61.3544
742.5,59.2807
747.5,62.7965
752.5,61.385
757.5,62.0331
762.5,60.8225
767.5,59.633
772.5,60.0046
777.5,59.6981
782.5,59.8567
787.5,59.1556
792.5,60.9862
797.5,60.1711
