Time_min,G,D50_micron
1,90,18.6082
2,90,20.1747
3,90,14.8838
4,90,16.9455
5,90,19.2421
6,90,19.9955
7,90,15.1693
8,90,19.6016
9,90,21.3423
10,90,23.7323
11,90,25.1929
12,90,17.4027
13,90,22.6999
14,90,17.8828
15,90,18.4251
16,50,29.8024
17,50,27.1692
18,50,30.5426
19,50,20.6644
20,50,33.3472
21,50,33.0977
22,50,30.5867
23,50,29.5154
24,50,33.4771
25,50,35.0512
26,50,32.3901
27,50,35.6815
28,50,33.8941
29,50,33.5684
30,50,35.951
31,50,32.0948
32,50,36.679
33,50,37.2982
34,50,34.8188
35,50,37.9543
36,50,36.5811
37,50,38.0423
38,50,39.9458
39,50,38.9624
40,50,39.043
41,50,36.2622
42,50,37.84
43,50,37.6032
44,50,36.2573
45,50,38.2547
46,35,35.8121
47,35,38.0499
48,35,40.1716
49,35,38.55
50,35,36.4568
51,35,39.5515
52,35,38.4019
53,35,38.4522
54,35,40.5258
55,35,42.7404
56,35,39.6173
57,35,40.5764
58,35,40.972
59,35,41.8537
60,35,41.7418
61,35,43.4855
62,35,43.3846
63,35,41.6658
64,35,40.1564
65,35,44.4077
66,35,44.3006
67,35,43.8709
68,35,43.4421
69,35,48.0973
70,35,44.3872
71,35,47.4655
72,35,46.6462
73,35,47.5776
74,35,45.4279
75,35,44.338
76,35,49.6721
77,35,44.7618
78,35,47.1806
79,35,47.0212
80,35,46.9244
81,35,45.5004
82,35,46.0515
83,35,46.6079
84,35,45.3133
85,35,47.9509
86,35,47.4878
87,35,50.7301
88,35,50.2643
89,35,48.2617
90,35,50.5008
91,20,51.1329
92,20,52.5562
93,20,58.3099
94,20,55.2589
95,20,62.1971
96,20,61.357
97,20,65.0262
98,20,62.0523
99,20,59.4388
100,20,64.6557
101,20,70.823
102,20,67.506
103,20,68.01
104,20,70.8789
105,20,72.0878
106,20,69.288
107,20,71.4642
108,20,73.8826
109,20,73.5794
110,20,67.829
111,20,75.184
112,20,75.7854
113,20,74.6208
114,20,78.5322
115,20,73.1573
116,20,76.9213
117,20,74.382
118,20,79.5626
119,20,79.3991
120,20,76.6744
121,20,79.8913
122,20,80.1888
123,20,77.9292
124,20,76.0866
125,20,77.468
126,20,83.3635
127,20,84.4707
128,20,78.2745
129,20,78.4103
130,20,84.0743
131,20,86.9705
132,20,83.2315
133,20,82.7736
134,20,81.5191
135,20,78.4276
136,20,91.4762
137,20,89.6554
138,20,84.0401
139,20,85.7996
140,20,85.8426
141,20,87.0809
142,20,85.7133
143,20,88.2194
144,20,87.6989
145,20,87.1975
146,20,87.3496
147,20,83.2358
148,20,89.4359
149,20,87.8559
150,20,87.6565
151,20,86.8792
152,20,86.1736
153,20,85.9641
154,20,85.775
155,20,91.7543
156,20,81.8222
157,20,88.6471
158,20,86.6961
159,20,84.3218
160,20,90.9285
161,20,85.7936
162,20,88.3247
163,20,92.8652
164,20,89.4563
165,20,94.8497
166,20,91.4644
167,20,92.4735
168,20,89.4214
169,20,93.641
170,20,89.3894
171,20,92.2674
172,20,92.6401
173,20,91.636
174,20,88.6745
175,20,93.7555
176,20,89.9271
177,20,90.9551
178,20,89.4553
179,20,91.1942
180,20,87.1079
181,20,88.8512
182,20,94.7388
183,20,92.9159
184,20,92.812
185,20,91.7654
186,20,94.1976
187,20,89.988
188,20,97.2797
189,20,95.9066
190,20,91.3094
191,20,94.6169
192,20,95.0169
193,20,90.7609
194,20,92.7121
195,20,87.8896
196,20,93.2614
197,20,91.9899
198,20,93.1726
199,20,93.0374
200,20,91.6291
201,20,93.2847
202,20,94.4627
203,20,91.8484
204,20,93.0334
205,20,95.881
206,20,94.6651
207,20,95.8
208,20,94.886
209,20,90.4813
210,20,96.4463
211,20,91.833
212,20,98.2319
213,20,96.01
214,20,96.4352
215,20,93.1792
216,20,96.2006
217,20,97.9579
218,20,92.5222
219,20,94.6966
220,20,94.7705
221,20,94.6612
222,20,93.8692
223,20,97.0537
224,20,96.2936
225,20,98.2779
226,20,97.3406
227,20,90.7402
228,20,96.1771
229,20,99.2085
230,20,94.021
231,20,99.5597
232,20,100.384
233,20,93.2698
234,20,100.092
235,20,99.157
236,20,101.586
237,20,99.3336
238,20,102.739
239,20,98.7389
240,20,95.1953
241,20,100.354
242,20,102.743
243,20,93.201
244,20,98.6479
245,20,101.185
246,20,97.8617
247,20,98.9879
248,20,96.8311
249,20,98.6845
250,20,99.4533
251,20,92.4931
252,20,103.672
253,20,102.491
254,20,95.7607
255,20,101.276
256,20,101.04
257,20,99.6967
258,20,100.656
259,20,101.14
260,20,100.823
261,20,95.5039
262,20,97.6533
263,20,94.5878
264,20,97.47
265,20,102.173
266,20,97.8791
267,20,107.954
268,20,99.847
269,20,98.943
270,20,102.838
271,20,97.0163
272,20,96.3403
273,20,100.2
274,20,99.0691
275,20,100.384
276,20,100.511
277,20,101.368
278,20,98.8961
279,20,102.729
280,20,102.176
281,20,98.1202
282,20,95.6882
283,20,103.329
284,20,101.712
285,20,97.3822
286,20,99.5343
287,20,98.9739
288,20,99.1651
289,20,98.6373
290,20,99.8933
291,20,98.9722
292,20,105.234
293,20,99.7699
294,20,100.847
295,20,102.478
296,20,94.2118
297,20,102.087
298,20,105.346
299,20,102.181
300,20,98.6968
301,20,102.106
302,20,96.4546
303,20,103.011
304,20,91.9485
305,20,98.4621
306,20,98.6136
307,20,95.1977
308,20,98.2885
309,20,102.988
310,20,98.9746
311,20,99.7186
312,20,98.8532
