Time_min,G,D50_micron
1,25,37.6972
2,25,40.5538
3,25,40.3141
4,25,41.0949
5,25,36.4615
6,25,38.1433
7,25,38.0597
8,25,39.5725
9,25,38.1971
10,25,38.5449
11,25,38.9412
12,25,41.8518
13,25,38.6449
14,25,43.1784
15,25,44.6681
16,16,45.7251
17,16,50.2881
18,16,46.2312
19,16,52.8741
20,16,57.0999
21,16,54.562
22,16,60.1545
23,16,56.8849
24,16,65.9485
25,16,62.7129
26,16,67.7112
27,16,65.2467
28,16,71.7714
29,16,72.9981
30,16,71.2131
31,16,75.7
32,16,71.8229
33,16,80.5423
34,16,76.1662
35,16,78.9337
36,16,80.5227
37,16,79.5203
38,16,78.7062
39,16,85.0536
40,16,81.7858
41,16,82.8846
42,16,82.1056
43,16,86.6381
44,16,84.5274
45,16,94.3102
46,12,92.0259
47,12,91.8054
48,12,100.423
49,12,92.7985
50,12,95.0387
51,12,101.249
52,12,105.563
53,12,101.732
54,12,100.86
55,12,101.978
56,12,109.571
57,12,102.5
58,12,106.796
59,12,107.277
60,12,114.029
61,12,109.053
62,12,107.656
63,12,109.034
64,12,112.734
65,12,108.909
66,12,116.98
67,12,113.04
68,12,118.814
69,12,113.622
70,12,110.874
71,12,120.723
72,12,120.452
73,12,123.616
74,12,120.697
75,12,118.759
76,12,116.944
77,12,112.643
78,12,124.423
79,12,124.392
80,12,131.203
81,12,123.452
82,12,124.018
83,12,126.208
84,12,123.029
85,12,126.843
86,12,122.423
87,12,118.667
88,12,128.761
89,12,125.276
90,12,127.38
91,6,130.667
92,6,122.739
93,6,144.85
94,6,135.885
95,6,131.062
96,6,136.301
97,6,136.199
98,6,144.635
99,6,141.748
100,6,143.205
101,6,157.721
102,6,148.949
103,6,159.914
104,6,155.064
105,6,162.88
106,6,159.798
107,6,147.954
108,6,144.796
109,6,151.653
110,6,165.593
111,6,170.846
112,6,161.914
113,6,164.463
114,6,167.282
115,6,160.494
116,6,169.138
117,6,169.983
118,6,178.486
119,6,163.454
120,6,157.455
121,6,168.666
122,6,160.429
123,6,162.837
124,6,175.691
125,6,186.696
126,6,178.917
127,6,181.282
128,6,169.45
129,6,180.493
130,6,174.163
131,6,179.844
132,6,171.126
133,6,189.623
134,6,172.273
135,6,177.618
136,6,187.688
137,6,178.287
138,6,176.899
139,6,193.477
140,6,166.492
141,6,177.117
142,6,185.007
143,6,168.24
144,6,176.271
145,6,169.993
146,6,189.714
147,6,179.561
148,6,178.627
149,6,165.745
150,6,172.147
151,6,174.842
152,6,197.341
153,6,182.046
154,6,190.566
155,6,182.812
156,6,169.667
157,6,175.598
158,6,190.097
159,6,169.193
160,6,190.081
161,6,183.696
162,6,185.155
163,6,196.723
164,6,171.017
165,6,184.974
166,6,185.159
167,6,166.282
168,6,181.513
169,6,179.917
170,6,198.285
171,6,189.403
172,6,185.045
173,6,187.247
174,6,195.264
175,6,192.112
176,6,175.702
177,6,181.285
178,6,190.849
179,6,191.195
180,6,190.74
181,6,159.289
182,6,196.994
183,6,186.208
184,6,178.764
185,6,181.668
186,6,184.838
187,6,178.745
188,6,177.006
189,6,172.015
190,6,180.353
191,6,189.61
192,6,195.34
193,6,187.523
194,6,175.979
195,6,195.353
196,6,179.929
197,6,180.139
198,6,189.417
199,6,185.471
200,6,183.561
201,6,192.91
202,6,168.355
203,6,208.291
204,6,193.357
205,6,175.145
206,6,173.972
207,6,195.939
208,6,186.541
209,6,185.933
210,6,176.09
211,12,195.902
212,12,183.259
213,12,167.051
214,12,180.397
215,12,165.801
216,12,160.293
217,12,163.025
218,12,152.719
219,12,161.338
220,12,171.066
221,12,159.241
222,12,164.359
223,12,159.594
224,12,154.596
225,12,155.017
226,12,146.739
227,12,158.286
228,12,154.617
229,12,157.907
230,12,148.814
231,12,159.219
232,12,158.189
233,12,151.451
234,12,150.873
235,12,150.058
236,12,155.751
237,12,153.662
238,12,155.322
239,12,150.951
240,12,149.037
241,12,157.525
242,12,156.799
243,12,145.606
244,12,149.293
245,12,151.881
246,12,154.475
247,12,143.394
248,12,149.588
249,12,157.182
250,12,144.269
251,12,151.462
252,12,155.454
253,12,149.271
254,12,147.06
255,12,153.166
256,16,147.283
257,16,144.749
258,16,140.062
259,16,142.408
260,16,139.952
261,16,136.124
262,16,138.446
263,16,134.394
264,16,131.417
265,16,131.461
266,16,128.996
267,16,136.594
268,16,129.629
269,16,126.184
270,16,134.442
271,16,132.507
272,16,130.073
273,16,127.079
274,16,126.393
275,16,133.125
276,16,126.852
277,16,128.652
278,16,126.036
279,16,124.649
280,16,128.809
281,16,126.654
282,16,126.385
283,16,133.029
284,16,124.601
285,16,117.712
286,25,113.233
287,25,113.817
288,25,116.607
289,25,111.825
290,25,105.629
291,25,106.883
292,25,106.241
293,25,99.6748
294,25,102.942
295,25,96.9933
296,25,99.2517
297,25,96.2492
298,25,92.9845
299,25,94.8641
300,25,81.3368
